Ingredient,Calories,Protein,Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Carbohydrates,Fiber,Sugars,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Pantothenic Acid,Choline,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Cholesterol,Menu Type,Day,Meal
350 g raw sea bass,339.5,64.51,7.0,1.7885,1.484,2.6005,0.0,0.0,0.0,35.0,1.015,143.5,679.0,896.0,238.0,1.4,0.0665,0.0525,127.75,539,0.0,791,2.94,0.35,0.385,0.42,5.6,1.4,17.5,1.05,2.625,212.8,N/A,N/A,143.5,Omnivore,Day 1,Supper - Very Tender Sea Bass
1 lemon,24.36,0.92,0.25,0.0328,0.0092,0.0748,7.83,2.35,2.1,21.84,0.504,6.72,13.44,115.92,1.68,0.0504,0.0311,0.0252,0.336,18.48,44.52,0,0.126,0,0.0336,0.0168,0.084,0.0672,9.24,0,0.1596,4.284,N/A,N/A,0.0,Omnivore,Day 1,Supper - Very Tender Sea Bass
1 orange,68.6,1.27,0.21,0.0238,0.042,0.0434,17.56,3.08,11.9,60.2,0.182,15.4,32.2,232.4,1.4,0.112,0.0546,0.0406,0,345.8,82.74,0,0.21,0,0.0952,0.0714,0.595,0.1106,47.6,0,0.3654,11.76,N/A,N/A,0.0,Omnivore,Day 1,Supper - Very Tender Sea Bass
0.5 g salt,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12,0.0017,0.005,0.0,0.04,193.79,0.0005,0.0002,0.0005,0.0005,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,N/A,N/A,0.0,Omnivore,Day 1,Supper - Very Tender Sea Bass
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0.0,0.0,0.0913,0.18,0.0,0.0,0,0,0,0.0,0,1.3101,5.496,0.0,0.0,0.0,0,0,0,0,0.0274,N/A,N/A,0.0,Omnivore,Day 1,Supper - Very Tender Sea Bass
350 g raw broccoli,119.0,9.87,1.3,0.1365,0.0385,0.133,23.24,9.1,5.95,164.5,2.555,73.5,231.0,1106.0,115.5,1.435,0.1715,0.735,8.75,2180.5,312.2,0,2.73,355.6,0.2485,0.4095,2.2365,0.6125,220.5,0,2.0055,65.45,N/A,N/A,0.0,Omnivore,Day 1,Supper - Very Tender Sea Bass
2 slices whole wheat bread,161.28,7.97,2.24,0.4621,0.3968,1.0189,27.33,3.84,2.78,103.04,1.5808,48.0,135.68,162.56,291.2,1.1328,0.1453,1.3914,16.448,1.92,0.0,0,1.7024,4.992,0.2522,0.1069,2.8403,0.1376,26.88,0,0.4134,17.408,0.0877,0.0006,0.0,Omnivore,Day 2,Breakfast - Smurkbrod with Herring
100 g herring,203.0,23.03,11.59,2.615,4.79,2.735,0.0,0.0,0.0,74.0,1.41,41.0,303.0,419.0,115.0,1.27,0.118,0.04,46.8,120,0.7,214,1.37,0.1,0.112,0.299,4.124,0.348,12,13.14,0.74,83.3,N/A,N/A,77.0,Omnivore,Day 2,Breakfast - Smurkbrod with Herring
10 g butter,71.7,0.09,8.11,5.1368,2.1021,0.3043,0.01,0.0,0.01,2.4,0.002,0.2,2.4,2.4,64.3,0.009,0.0,0,0.1,249.9,0.0,0,0.232,0.7,0.0005,0.0034,0.0042,0.0003,0.3,0.017,0.011,1.88,0.0315,N/A,21.5,Omnivore,Day 2,Breakfast - Smurkbrod with Herring
2 pickles,8.4,0.35,0.21,0.0553,0.0035,0.0854,1.69,0.7,0.75,39.9,0.182,4.9,11.2,81.9,566.3,0.07,0.0196,0.0434,0,87.5,1.61,0,0.021,12.11,0.0315,0.0399,0.0763,0.0245,5.6,0,0.1407,2.38,N/A,N/A,0.0,Omnivore,Day 2,Breakfast - Smurkbrod with Herring
50 g kimchi,7.5,0.55,0.25,0.0335,0.0185,0.1205,1.2,0.8,0.53,16.5,1.25,7.0,12.0,75.5,249.0,0.11,0.012,N/A,0.25,46.5,0.0,0,0.055,21.8,0.005,0.105,0.55,0.1065,26,0,N/A,7.75,N/A,N/A,0.0,Omnivore,Day 2,Breakfast - Smurkbrod with Herring
1 medium green onion,4.8,0.27,0.03,0.0048,0.0041,0.0111,1.1,0.39,0.35,10.8,0.222,3.0,5.55,41.4,2.4,0.0585,0.0125,0.024,0.09,149.55,2.82,0,0.0825,31.05,0.0083,0.012,0.0788,0.0092,9.6,0,0.0113,0.855,N/A,N/A,0.0,Omnivore,Day 2,Breakfast - Smurkbrod with Herring
10 g sprouts,2.3,0.4,0.07,0.0069,0.0056,0.0409,0.21,0.19,0.02,3.2,0.096,2.7,7.0,7.9,0.6,0.092,0.0157,0.0188,0.06,15.5,0.82,0,0.002,3.05,0.0076,0.0126,0.0481,0.0034,3.6,0,0.0563,1.44,N/A,N/A,0.0,Omnivore,Day 2,Breakfast - Smurkbrod with Herring
10 g raw almonds,57.9,2.12,4.99,0.3802,3.1551,1.2329,2.15,1.25,0.44,26.9,0.371,27.0,48.1,73.3,0.1,0.312,0.1031,0.2179,0.41,0.2,0.0,0,2.563,0,0.0205,0.1138,0.3618,0.0137,4.4,0,0.0471,5.21,0.0003,N/A,0.0,Omnivore,Day 2,Snack
15 g raw cashew,82.95,2.73,6.58,1.1675,3.5696,1.1768,4.53,0.5,0.89,5.55,1.002,43.8,88.95,99.0,1.8,0.867,0.3293,0.2483,2.985,0,0.075,0,0.135,5.115,0.0635,0.0087,0.1593,0.0626,3.75,0,0.1296,N/A,N/A,N/A,0.0,Omnivore,Day 2,Snack
300 g raspberries,156.0,3.6,1.95,0.057,0.192,1.125,35.82,19.5,13.26,75.0,2.07,66.0,87.0,453.0,3.0,1.26,0.27,2.01,0.6,99,78.6,0,2.61,23.4,0.096,0.114,1.794,0.165,63,0,0.987,36.9,N/A,N/A,0.0,Omnivore,Day 2,Snack
250 g potatoes,232.5,6.25,0.33,0.085,0.0075,0.1425,52.88,5.5,2.95,37.5,2.7,70.0,175.0,1337.5,25.0,0.9,0.295,0.5475,1,25,24.0,0,0.1,5,0.16,0.12,3.525,0.7775,70,0,0.94,37,N/A,N/A,0.0,Omnivore,Day 2,Lunch - Chicken Legs with Potatoes and Tomatoes
2 cloves garlic,8.94,0.38,0.03,0.0053,0.0007,0.0149,1.98,0.13,0.06,10.86,0.102,1.5,9.18,24.06,1.02,0.0696,0.0179,0.1003,0.852,0.54,1.872,0,0.0048,0.102,0.012,0.0066,0.042,0.0741,0.18,0,0.0358,1.392,N/A,N/A,0.0,Omnivore,Day 2,Lunch - Chicken Legs with Potatoes and Tomatoes
120 g chicken leg,220.8,28.84,10.79,2.9352,4.2768,2.226,0.0,0.0,0.0,14.4,1.308,27.6,242.4,316.8,117.6,2.484,0.0732,0.024,30.84,81.6,0.0,4.8,0.228,4.68,0.108,0.2244,7.2408,0.4956,6,0.456,1.4292,84,0.0516,0,152.4,Omnivore,Day 2,Lunch - Chicken Legs with Potatoes and Tomatoes
8 cherry tomatoes,24.48,1.2,0.27,0.0381,0.0422,0.1129,5.29,1.63,3.58,13.6,0.3672,14.96,32.64,322.32,6.8,0.2312,0.0802,0.155,0,1132.88,18.632,0,0.7344,10.744,0.0503,0.0258,0.8078,0.1088,20.4,0,0.121,9.112,N/A,N/A,0.0,Omnivore,Day 2,Lunch - Chicken Legs with Potatoes and Tomatoes
20 g basil,4.6,0.63,0.13,0.0082,0.0176,0.0778,0.53,0.32,0.06,35.4,0.634,12.8,11.2,59.0,0.8,0.162,0.077,0.2296,0.06,1055,3.6,0,0.16,82.96,0.0068,0.0152,0.1804,0.031,13.6,0,0.0418,2.28,N/A,N/A,0.0,Omnivore,Day 2,Lunch - Chicken Legs with Potatoes and Tomatoes
10 g olive oil,88.4,0.0,10.0,1.3808,7.2961,1.0523,0.0,0.0,0.0,0.1,0.056,0.0,0.0,0.1,0.2,0.0,0.0,0,0,0,0.0,0,1.435,6.02,0.0,0.0,0.0,0,0,0,0,0.03,N/A,N/A,0.0,Omnivore,Day 2,Lunch - Chicken Legs with Potatoes and Tomatoes
1 g ground black pepper,2.51,0.1,0.03,0.0139,0.0074,0.01,0.64,0.25,0.01,4.43,0.0971,1.71,1.58,13.29,0.2,0.0119,0.0133,0.1275,0.049,5.47,0.0,0,0.0104,1.637,0.0011,0.0018,0.0114,0.0029,0.17,0,0.014,0.113,0.0015,N/A,0.0,Omnivore,Day 2,Lunch - Chicken Legs with Potatoes and Tomatoes
4 tsp Dijon mustard,12.47,0.78,0.69,0.0445,0.4536,0.1609,1.21,0.83,0.19,13.2894,0.3374,9.9867,22.452,31.6632,540.15,0.1339,0.0156,0.0885,6.9651,22.6599,0.0624,0,0.0748,0.2911,0.0368,0.0146,0.1175,0.0146,1.4552,0,0.0528,4.6567,0.0775,0.0037,0.0,Omnivore,Day 2,Supper - Baked Wild Alaska Pollock
1 tsp dry oregano,3.71,0.13,0.06,0.0217,0.01,0.0192,0.96,0.6,0.06,22.358,0.5152,3.78,2.072,17.64,0.35,0.0377,0.0089,0.0699,0.063,23.814,0.0322,0,0.2556,8.7038,0.0025,0.0074,0.065,0.0146,3.318,0,0.0129,0.4522,0.0087,N/A,0.0,Omnivore,Day 2,Supper - Baked Wild Alaska Pollock
1/8 tsp chili pepper,0.15,0.01,0.0,0.0002,0.0001,0.0009,0.03,0.01,0.02,0.0525,0.0039,0.0863,0.1613,1.2075,0.03,0.001,0.0005,0.0007,0.0019,3.57,0.5389,0,0.0026,0.0525,0.0003,0.0003,0.0047,0.0019,0.0863,0,0.0008,0.0409,N/A,N/A,0.0,Omnivore,Day 2,Supper - Baked Wild Alaska Pollock
200 g pollock fish,236.0,49.84,2.52,0.34,0.286,1.244,0.0,0.0,,154.0,1.18,172.0,566.0,912.0,220.0,1.2,0.128,0.038,93.6,80,0.0,N/A,N/A,N/A,0.108,0.45,7.966,0.662,6,7.36,0.826,N/A,N/A,N/A,182.0,Omnivore,Day 2,Supper - Baked Wild Alaska Pollock
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0.0,0.0,0.0913,0.18,0.0,0.0,0,0,0,0.0,0,1.3101,5.496,0.0,0.0,0.0,0,0,0,0,0.0274,N/A,N/A,0.0,Omnivore,Day 2,Supper - Baked Wild Alaska Pollock
10 black olives,43.7,0.32,4.06,0.5377,2.9974,0.3462,2.38,1.22,0.0,33.44,1.254,1.52,1.14,3.04,279.3,0.0836,0.0954,0.0076,0.342,153.14,0.342,0,0.627,0.532,0.0011,0.0,0.0141,0.0034,0,0,0.0057,3.914,N/A,N/A,0.0,Omnivore,Day 2,Supper - Baked Wild Alaska Pollock
3 eggs,214.5,18.84,14.27,4.689,5.487,2.8665,1.08,0.0,0.56,84.0,2.625,18.0,297.0,207.0,213.0,1.935,0.108,0.042,46.05,810,0.0,123,1.575,0.45,0.06,0.6855,0.1125,0.255,70.5,1.335,2.2995,440.7,0.054,0.0015,558.0,Omnivore,Day 3,Breakfast - Classic Omelet
50 ml milk,25.78,1.7,1.02,0.6482,0.2888,0.0376,2.48,0.0,2.61,61.8787,0.0103,5.6722,47.4403,72.1918,24.24,0.2475,0.0031,0.0072,1.2891,97.9746,0.1031,25.2671,0.0155,0.1031,0.0201,0.0954,0.0474,0.0196,2.5783,0.2733,0.1836,8.4568,0.0041,N/A,4.13,Omnivore,Day 3,Breakfast - Classic Omelet
15 g butter,107.55,0.13,12.17,7.7052,3.1532,0.4565,0.01,0.0,0.01,3.6,0.003,0.3,3.6,3.6,96.45,0.0135,0.0,0,0.15,374.85,0.0,0,0.348,1.05,0.0008,0.0051,0.0063,0.0005,0.45,0.0255,0.0165,2.82,0.0473,N/A,32.25,Omnivore,Day 3,Breakfast - Classic Omelet
0.5 g sea salt,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12,0.0017,0.005,0.0,0.04,193.79,0.0005,0.0002,0.0005,0.0005,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,N/A,N/A,0.0,Omnivore,Day 3,Breakfast - Classic Omelet
1 g ground black pepper,2.51,0.1,0.03,0.0139,0.0074,0.01,0.64,0.25,0.01,4.43,0.0971,1.71,1.58,13.29,0.2,0.0119,0.0133,0.1275,0.049,5.47,0.0,0,0.0104,1.637,0.0011,0.0018,0.0114,0.0029,0.17,0,0.014,0.113,0.0015,N/A,0.0,Omnivore,Day 3,Breakfast - Classic Omelet
10 g raw almonds,57.9,2.12,4.99,0.3802,3.1551,1.2329,2.15,1.25,0.44,26.9,0.371,27.0,48.1,73.3,0.1,0.312,0.1031,0.2179,0.41,0.2,0.0,0,2.563,0,0.0205,0.1138,0.3618,0.0137,4.4,0,0.0471,5.21,0.0003,N/A,0.0,Omnivore,Day 3,Snack
15 g raw cashew,82.95,2.73,6.58,1.1675,3.5696,1.1768,4.53,0.5,0.89,5.55,1.002,43.8,88.95,99.0,1.8,0.867,0.3293,0.2483,2.985,0,0.075,0,0.135,5.115,0.0635,0.0087,0.1593,0.0626,3.75,0,0.1296,N/A,N/A,N/A,0.0,Omnivore,Day 3,Snack
300 g red currant,168.0,4.2,0.6,0.051,0.084,0.264,41.4,12.9,22.11,99.0,3.0,39.0,132.0,825.0,3.0,0.69,0.321,0.558,1.8,126,123.0,0,0.3,33,0.12,0.15,0.3,0.21,24,0,0.192,22.8,N/A,N/A,0.0,Omnivore,Day 3,Snack
1 small broccoli,49.0,3.33,0.57,0.1106,0.056,0.238,10.05,4.62,1.95,56.0,0.938,29.4,93.8,410.2,57.4,0.63,0.0854,0.2716,2.24,2167.2,90.86,0,2.03,197.54,0.0882,0.1722,0.7742,0.28,151.2,0,0.8624,56.14,N/A,N/A,0.0,Omnivore,Day 3,Lunch - Autumn Pasta with Broccoli and Anchovies
1 clove garlic,4.47,0.19,0.02,0.0027,0.0003,0.0075,0.99,0.06,0.03,5.43,0.051,0.75,4.59,12.03,0.51,0.0348,0.009,0.0502,0.426,0.27,0.936,0,0.0024,0.051,0.006,0.0033,0.021,0.0371,0.09,0,0.0179,0.696,N/A,N/A,0.0,Omnivore,Day 3,Lunch - Autumn Pasta with Broccoli and Anchovies
3-4 anchovies,33.6,4.62,1.55,0.3525,0.6032,0.4099,0.0,0.0,0.0,37.12,0.7408,11.04,40.32,87.04,586.88,0.3904,0.0542,0.016,10.896,6.4,0.0,11.04,0.5328,1.936,0.0125,0.0581,3.1845,0.0325,2.08,0.1408,0.1454,13.6,N/A,N/A,13.6,Omnivore,Day 3,Lunch - Autumn Pasta with Broccoli and Anchovies
1 small dry chili pepper,18.0,0.84,0.2,0.0189,0.0108,0.1076,3.96,0.68,2.38,6.3,0.4635,10.35,19.35,144.9,4.05,0.117,0.0581,0.0842,0.225,428.4,64.665,0,0.3105,6.3,0.0324,0.0387,0.5598,0.2277,10.35,0,0.0905,4.905,N/A,N/A,0.0,Omnivore,Day 3,Lunch - Autumn Pasta with Broccoli and Anchovies
5 g butter,35.85,0.04,4.06,2.5684,1.0511,0.1522,0.0,0.0,0.0,1.2,0.001,0.1,1.2,1.2,32.15,0.0045,0.0,0,0.05,124.95,0.0,0,0.116,0.35,0.0003,0.0017,0.0021,0.0002,0.15,0.0085,0.0055,0.94,0.0158,N/A,10.75,Omnivore,Day 3,Lunch - Autumn Pasta with Broccoli and Anchovies
5 ml olive oil,40.35,0.0,4.56,0.6303,3.3305,0.4804,0.0,0.0,0.0,0.0457,0.0256,0.0,0.0,0.0457,0.09,0.0,0.0,0,0,0,0.0,0,0.6551,2.748,0.0,0.0,0.0,0,0,0,0,0.0137,N/A,N/A,0.0,Omnivore,Day 3,Lunch - Autumn Pasta with Broccoli and Anchovies
125 g fusilli pasta,197.5,7.25,1.16,0.22,0.1638,0.4075,38.58,2.25,0.7,8.75,1.6,22.5,72.5,55.0,1.25,0.6375,0.125,0.4025,33,0,0.0,0,0.075,0,0.3425,0.17,2.1113,0.0613,91.25,0,0.14,8,0.03,N/A,0.0,Omnivore,Day 3,Lunch - Autumn Pasta with Broccoli and Anchovies
0.5 g sea salt,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12,0.0017,0.005,0.0,0.04,193.79,0.0005,0.0002,0.0005,0.0005,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,N/A,N/A,0.0,Omnivore,Day 3,Lunch - Autumn Pasta with Broccoli and Anchovies
15 g parmesan,63.0,4.26,4.18,2.3057,1.0695,0.2079,2.09,0.0,0.01,127.95,0.0735,5.1,94.05,27.0,270.6,0.63,0.006,0.0107,5.16,146.1,0.0,3.15,0.0795,0.255,0.0039,0.0537,0.012,0.0122,0.9,0.21,0.0675,2.115,0.0153,0.0003,12.9,Omnivore,Day 3,Lunch - Autumn Pasta with Broccoli and Anchovies
170 g perch fillet,198.9,42.26,2.01,0.4029,0.3315,0.8024,0.0,0.0,,173.4,1.972,64.6,436.9,584.8,134.3,2.431,0.3264,1.53,27.37,54.4,2.89,N/A,N/A,N/A,0.136,0.204,3.23,0.238,10.2,3.74,1.479,N/A,N/A,N/A,195.5,Omnivore,Day 3,Supper - Instant Light Pike Perch with Rosemary
7 ml olive oil,56.49,0.0,6.39,0.8824,4.6628,0.6725,0.0,0.0,0.0,0.0639,0.0358,0.0,0.0,0.0639,0.13,0.0,0.0,0,0,0,0.0,0,0.9171,3.8472,0.0,0.0,0.0,0,0,0,0,0.0192,N/A,N/A,0.0,Omnivore,Day 3,Supper - Instant Light Pike Perch with Rosemary
1 clove garlic,4.47,0.19,0.02,0.0027,0.0003,0.0075,0.99,0.06,0.03,5.43,0.051,0.75,4.59,12.03,0.51,0.0348,0.009,0.0502,0.426,0.27,0.936,0,0.0024,0.051,0.006,0.0033,0.021,0.0371,0.09,0,0.0179,0.696,N/A,N/A,0.0,Omnivore,Day 3,Supper - Instant Light Pike Perch with Rosemary
7 g rosemary,23.17,0.34,1.07,0.516,0.211,0.1637,4.48,2.98,,89.6,2.0475,15.4,4.9,66.85,3.5,0.2261,0.0385,0.1307,0.322,218.96,4.284,0,N/A,N/A,0.036,0.03,0.07,0.1218,21.49,0,N/A,N/A,N/A,N/A,0.0,Omnivore,Day 3,Supper - Instant Light Pike Perch with Rosemary
1 small lemon,24.36,0.92,0.25,0.0328,0.0092,0.0748,7.83,2.35,2.1,21.84,0.504,6.72,13.44,115.92,1.68,0.0504,0.0311,0.0252,0.336,18.48,44.52,0,0.126,0,0.0336,0.0168,0.084,0.0672,9.24,0,0.1596,4.284,N/A,N/A,0.0,Omnivore,Day 3,Supper - Instant Light Pike Perch with Rosemary
1 avocado haas,321.6,4.02,29.47,4.2733,19.696,3.6502,17.15,13.47,1.33,24.12,1.1055,58.29,104.52,974.85,14.07,1.2864,0.3819,0.2854,0.804,293.46,20.1,0,4.1607,42.21,0.1347,0.2613,3.4934,0.5166,162.81,0,2.7919,28.542,0.2231,N/A,0.0,Vegetarian,Day 1,Breakfast - Avocado Toast
3 slices whole wheat bread,241.92,11.95,3.36,0.6931,0.5952,1.5283,41.0,5.76,4.17,154.56,2.3712,72.0,203.52,243.84,436.8,1.6992,0.2179,2.087,24.672,2.88,0.0,0,2.5536,7.488,0.3782,0.1603,4.2605,0.2064,40.32,0,0.6202,26.112,0.1315,0.001,0.0,Vegetarian,Day 1,Breakfast - Avocado Toast
5 cherry tomatoes,15.3,0.75,0.17,0.0238,0.0264,0.0706,3.31,1.02,2.24,8.5,0.2295,9.35,20.4,201.45,4.25,0.1445,0.0502,0.0969,0,708.05,11.645,0,0.459,6.715,0.0315,0.0162,0.5049,0.068,12.75,0,0.0757,5.695,N/A,N/A,0.0,Vegetarian,Day 1,Breakfast - Avocado Toast
0.5 g salt,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.12,0.0017,0.005,0.0,0.04,193.79,0.0005,0.0002,0.0005,0.0005,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,N/A,N/A,0.0,Vegetarian,Day 1,Breakfast - Avocado Toast
a pinch of chili flakes,0.35,0.01,0.02,0.0036,0.0031,0.0093,0.06,0.03,0.01,0.165,0.0087,0.1694,0.3266,2.2448,0.03,0.0028,0.0004,0.0022,0.0098,46.3778,0.0852,0,0.0333,0.0895,0.0004,0.001,0.0097,0.0027,0.1182,0,N/A,0.0574,N/A,N/A,0.0,Vegetarian,Day 1,Breakfast - Avocado Toast
juice of 1/4 lemon,127.98,0.31,0.0,0,0,0,31.19,0.24,28.7,7.11,0.5925,11.85,16.59,289.14,144.57,0.0948,0.0308,N/A,0.237,40.29,60.198,0,0.1185,0,0.2252,0.0332,0.0853,0.0758,0,0,N/A,4.266,N/A,N/A,0.0,Vegetarian,Day 1,Breakfast - Avocado Toast
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0.0,0.0,0.0913,0.18,0.0,0.0,0,0,0,0.0,0,1.3101,5.496,0.0,0.0,0.0,0,0,0,0,0.0274,N/A,N/A,0.0,Vegetarian,Day 1,Breakfast - Avocado Toast
21 g raw cashew,116.13,3.83,9.21,1.6344,4.9974,1.6475,6.34,0.69,1.24,7.77,1.4028,61.32,124.53,138.6,2.52,1.2138,0.461,0.3476,4.179,0,0.105,0,0.189,7.161,0.0888,0.0122,0.223,0.0876,5.25,0,0.1814,N/A,N/A,N/A,0.0,Vegetarian,Day 1,Snack
400 g fresh strawberries,128.0,2.68,1.2,0.06,0.172,0.62,30.72,8.0,19.56,64.0,1.64,52.0,96.0,612.0,4.0,0.56,0.192,1.544,1.6,48,235.2,0,1.16,8.8,0.096,0.088,1.544,0.188,96,0,0.5,22.8,N/A,N/A,0.0,Vegetarian,Day 1,Snack
0.5 cup dry corn grits,312.8,5.71,1.27,0.2465,0.2635,0.612,67.92,3.32,0.47,3.4,2.465,23.8,64.6,100.3,1.7,0.51,0.0255,0.1122,14.45,105.4,0.0,0,0.136,0,0.5738,0.2754,3.6168,0.1114,126.65,0,0.1964,12.24,N/A,N/A,0.0,Vegetarian,Day 1,Lunch - Polenta with Mushroom Gravy
